id;modulo;unidad;seite;espanol;deutsch;beispiel
v_155_01;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¡Apúntate!;Mach mit!;
v_155_02;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¡Hola!;Hallo!;
v_155_03;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¿Cómo te llamas?;Wie heißt du?;Hola, ¿cómo te llamas?
v_155_04;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¿cómo?;wie?;
v_155_05;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;soy;ich bin;Hola, soy Sofía.
v_155_06;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¿Y tú?;Und du?;Hola, soy Max. ¿Y tú?
v_155_07;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;y;und;
v_155_08;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;me llamo;ich heiße;Me llamo Aitana.
v_155_09;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;soy de;ich komme aus;Soy de Berlín. ¿Y tú?
v_155_10;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;de;aus;Soy de Hamburgo.
v_155_11;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¿De dónde eres?;Woher kommst du?;
v_155_12;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;¿de dónde?;woher?;
v_155_13;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;pues;also, na;Pues, soy de Madrid.
v_155_14;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;aquí;hier;
v_155_15;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;sí;ja;
v_155_16;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;claro;klar;-Soy de Madrid. -Claro...
v_155_17;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;Valencia;Hauptstadt der Autonomen Gemeinschaft Valencia;
v_155_18;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;Madrid;Hauptstadt Spaniens;
v_155_19;¡Apúntate!;¡Apúntate! | ¿Cómo te llamas?;155;España;Spanien;
v_155_20;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Afganistán;Afghanistan;
v_155_21;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Alemania;Deutschland;
v_155_22;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Austria;Österreich;
v_155_23;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;España;Spanien;
v_155_24;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Francia;Frankreich;
v_155_25;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Italia;Italien;
v_155_26;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Marruecos;Marokko;
v_155_27;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Polonia;Polen;
v_155_28;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Portugal;Portugal;
v_155_29;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Rusia;Russland;
v_155_30;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Ucrania;Ukraine;
v_155_31;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Siria;Syrien;
v_155_32;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Somalia;Somalia;
v_155_33;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Suiza;Schweiz;
v_155_34;¡Apúntate!;¡Apúntate! | Palabrateca - Soy de...;155;Turquía;Türkei;
v_156_01;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;¿Qué tal?;Wie geht’s?;Hola, ¿qué tal?
v_156_02;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;¿qué?;was?, wie?;
v_156_03;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;Bueno...;Okay, ... / Gut ...;Bueno... adiós...
v_156_04;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;¡Adiós!;Tschüss!;
v_156_05;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;¡Hasta luego!;Bis später!;-¡Adiós! -¡Hasta luego!
v_156_06;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;¡Buenos días!;Guten Tag.;¡Buenos días, Pau!
v_156_07;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;genial;genial, super, toll;-¿Qué tal? -¡Genial!
v_156_08;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;(muy) bien;(sehr) gut;-¿Qué tal? -¡Muy bien!
v_156_09;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;muy;sehr;
v_156_10;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;gracias;danke;-¿Qué tal? -Bien, gracias.
v_156_11;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;fatal;furchtbar;
v_156_12;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;más o menos;geht so;-¿Qué tal? -Más o menos...
v_156_13;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;regular;geht so;
v_156_14;¡Apúntate!;¡Apúntate! | ¿Qué tal?;156;(muy) mal;(sehr) schlecht;
v_156_15;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;¿Cuántos años tienes?;Wie alt bist du?;
v_156_16;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;Tengo... años.;Ich bin ... Jahre alt.;Tengo 13 años.
v_156_17;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;el año;das Jahr;
v_156_18;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;cero;null (0);
v_156_19;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;uno, una, un;eins (1);
v_156_20;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;dos;zwei (2);
v_156_21;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;tres;drei (3);
v_156_22;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;cuatro;vier (4);
v_156_23;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;cinco;fünf (5);
v_156_24;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;seis;sechs (6);
v_156_25;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;siete;sieben (7);
v_156_26;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;ocho;acht (8);
v_156_27;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;nueve;neun (9);
v_156_28;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;diez;zehn (10);
v_156_29;¡Apúntate!;¡Apúntate! | ¿Cuántos años tienes?;156;once;elf (11);
